City Lookup,0,Lat,Lng
"New Smyrna Beach, Florida",166,29.0258191,-80.9269984
"Ponce Inlet, Florida",33,29.0963729,-80.9369983
"Daytona Beach, Florida",28,29.2108147,-81.0228331
"Cocoa Beach, Florida",20,28.3200067,-80.6075513
"Melbourne Beach, Florida",19,28.0683496,-80.56033029999999
"Myrtle Beach, South Carolina",18,33.6890603,-78.8866943
"Isle of Palms, South Carolina",15,32.8194131,-79.7343791
"Singer Island, Florida",12,26.7850625,-80.03754080000002
"Ormond Beach, Florida",10,29.2858129,-81.0558894
"Playalinda Beach, Florida",10,28.6555177,-80.6318287
"Jacksonville Beach, Florida",8,30.2841224,-81.3961338
"Daytona Beach Shores, Florida",8,29.1760933,-80.9828323
"Florida Keys, Florida",8,25.0273356,-81.5357506
"Jensen Beach, Florida",8,27.2544906,-80.22976969999999
"Vero Beach, Florida",8,27.6386434,-80.39727359999999
"Palm Beach, Florida",8,26.7056206,-80.0364297
"Sanibel Island, Florida",7,26.4433972,-82.1115119
"Bethune Beach, Florida",7,28.9491539,-80.83783000000001
"Mustang Island, Texas",7,27.7103944,-97.1628647
"Jacksonville, Florida",7,30.3321838,-81.65565099999999
"Fort Lauderdale, Florida",6,26.1224386,-80.13731740000001
"Folly Beach, South Carolina",6,32.6551798,-79.94036729999999
"Juno Beach, Florida",6,26.8797819,-80.0533743
"Gulf Shores, Alabama",6,30.2460361,-87.70081929999999
"Riviera Beach, Florida",6,26.7753405,-80.0580969
"South Padre Island, Texas",6,26.1118401,-97.16812569999999
"North Myrtle Beach, South Carolina",5,33.8160058,-78.680016
"Olowalu, Hawaii",5,20.812688,-156.6227425
"Sebastian Inlet, Florida",5,27.860302,-80.4472737
"Ponce de Leon Inlet, Florida",5,29.0698216,-80.9216708
"St. Augustine, Florida",5,29.9012437,-81.31243409999999
"Jupiter, Florida",5,26.9342246,-80.0942087
"Ocean Reef Park, Florida",5,26.7937155,-80.032878
"Wrightsville Beach, North Carolina",5,34.2085036,-77.7963709
"North Topsail Beach, North Carolina",5,34.4901665,-77.43163
"Stuart Beach, Florida",4,27.2143933,-80.17502139999999
"Indialantic, Florida",4,28.0894599,-80.5656079
"Ponte Vedra Beach, Florida",4,30.2400058,-81.3852595
"Lori Wilson Park, Florida",4,28.3371416,-80.60948499999999
"Floridana Beach, Florida",4,27.9456312,-80.497996
"Hutchinson Island, Florida",4,27.3545667,-80.2488596
"South Jetty, Florida",4,27.1123385,-82.4666446
"Emerald Isle, North Carolina",4,34.6779399,-76.95077619999999
"Flagler Beach, Florida",4,29.4749754,-81.1270035
"Ocean Isle, North Carolina",4,33.8877282,-78.4364471
"San Onofre, California",4,33.3728077,-117.5656012
"Winchester Bay, Oregon",4,43.6770608,-124.1748369
"Huntington Beach, California",4,33.6594835,-117.9988026
"Moonstone Beach, California",4,35.5701306,-121.110815
"San Onofre State Beach, California",4,33.3728077,-117.5656012
"Hilton Head Island, South Carolina",4,32.216316,-80.752608
"White Plains Beach, Hawaii",4,21.3035275,-158.0452282
"South of Ponce Inlet, Florida",4,29.0963729,-80.9369983
"Hobe Sound, Florida",4,27.059498,-80.1364323
"Crescent Beach, Florida",4,29.76886,-81.2536786
"Avon, North Carolina",4,35.3521855,-75.51084449999999
"Surf Beach, California",3,34.6831139,-120.6064278
"Surf City, North Carolina",3,34.4271121,-77.5460805
"Kanaha Beach, Hawaii",3,20.9026526,-156.4375223
"Indiatlantic, Florida",3,28.0894599,-80.5656079
"Sullivan's Island, South Carolina",3,32.7632323,-79.8367511
"Santa Barbara County, California",3,34.4208321,-119.6982057
"St. Lucie County, Florida",3,27.3225563,-80.54384499999999
"Dillon Beach, California",3,38.2507515,-122.9652768
"Destin, Florida",3,30.3935337,-86.4957833
"Bunkers, California",3,38.3507443,-121.7582921
"Delray Beach, Florida",3,26.4614625,-80.0728201
"Leftovers, Hawaii",3,21.3115192,-157.8598428
"Kiawah Island, South Carolina",3,32.6082373,-80.0848166
"Kihei, Hawaii",3,20.7644275,-156.4450063
"Coral Cove Park, Florida",3,26.9634451,-80.0788305
"Coligny Beach, South Carolina",3,32.14156200000001,-80.7510617
"Fort Pierce Inlet, Florida",3,27.4727372,-80.28578949999999
"Tiger Shores Beach, Florida",3,27.2210598,-80.1790801
"San Miguel Island, California",3,34.037616,-120.3723741
"Monastery Beach, California",3,36.5232356,-121.9281114
"Ka'anapali, Hawaii",3,20.9331214,-156.6831418
"Masonboro Island, North Carolina",3,34.1329044,-77.8510213
"Marathon, Florida",3,24.726026,-81.0446262
"North Beach, Florida",3,25.860567,-80.123494
"Ponte Vedra, Florida",3,30.2400058,-81.3852595
"Hanalei Bay, Hawaii",3,22.2090776,-159.5067583
"Holden Beach. Brunswick County, North Carolina",3,33.9139209,-78.26938849999999
"Pigeon Point, California",3,37.1864492,-122.3832545
"Pawleys Island, South Carolina",3,33.4332236,-79.12143130000001
"Atlantic Beach, North Carolina",3,34.6990505,-76.7402108
"Ormond Beach / Daytona Beach, Florida",3,29.2858129,-81.0558894
"Galveston Island, Texas",3,29.241005,-94.90913289999999
"Fripp Island, South Carolina",3,32.317001,-80.4966062
"Vilano Beach, Florida",3,29.9385794,-81.3020173
"Daytona, Florida",2,29.2108147,-81.0228331
"Hollywood Beach, Florida",2,26.0086787,-80.1170355
"Key Largo, Florida",2,25.0865151,-80.4472802
"Holden Beach, North Carolina",2,33.9139209,-78.26938849999999
"Honokowai, Hawaii",2,20.963681,-156.6808988
"Jensen Beach Park, Florida",2,27.2247965,-80.2125987
"Pismo Beach, California",2,35.1427533,-120.6412827
"Klamath River, California",2,41.77847140000001,-123.0336387
"Patrick Air Force Base, Florida",2,28.2394645,-80.60751719999999
"Davenport Landing, California",2,37.02603089999999,-122.2159035
"Kekaha Beach, Hawaii",2,21.9684209,-159.7196382
"Paukukalo, Hawaii",2,20.9086111,-156.4877778
"Crescent Beach St. Johns County, Florida",2,29.76886,-81.2536786
"Off San Diego, California",2,32.715738,-117.1610838
"La Jolla, California",2,32.8328112,-117.2712717
"Isla Blanca Park, Texas",2,26.0753323,-97.1628362
"Pelican Beach Park, Florida",2,28.1673007,-80.58775969999999
"Intracoastal Waterway, Florida",2,30.2528775,-81.4237747
"Pepper Park Beach, Florida",2,27.4957492,-80.30101719999999
"Clearwater Beach, Florida",2,27.972065,-82.8285877
"Indian Beach, Oregon",2,45.9286181,-123.9785354
"Ho'okipa Beach, Hawaii",2,20.9331087,-156.3585959
"Kealia Beach, Hawaii",2,22.0992517,-159.3046322
"Point Conception, California",2,34.44859770000001,-120.4715514
"Keawakapu Beach, Hawaii",2,20.7039159,-156.4463238
"South Beach, Florida",2,25.7826123,-80.1340772
"Fort Pierce Inlet State Park, Florida",2,27.4820331,-80.3016686
"Salmon Creek, California",2,38.350472,-123.0622242
"Galveston, Texas",2,29.3013479,-94.7976958
"Garden City Beach, South Carolina",2,33.5929472,-79.0086464
"Gleneden Beach, Oregon",2,44.8814151,-124.034593
"Florida Straits, Florida",2,23.3875499,-82.38857829999999
"Rodanthe, North Carolina",2,35.600383,-75.4655882
"Paia Bay, Hawaii",2,20.9173855,-156.3836273
"Florence, Oregon",2,43.9826214,-124.099841
"Kahana Beach, Hawaii",2,20.9766667,-156.6825
"Figure Eight Island, North Carolina",2,34.2693745,-77.7444928
"Fernandina Beach, Florida",2,30.6696818,-81.46259189999999
"Kauai, Hawaii",2,22.0964396,-159.5261238
"Ka'a'awa, Hawaii",2,21.5572221,-157.8536111
"Jupiter Inlet, Florida",2,26.9478705,-80.07444579999999
"Santa Cruz, California",2,36.9741171,-122.0307963
"Emerald Isle Pier (near Morehead City), North Carolina",2,34.6607485,-77.03405409999999
"Elliot Key, Florida",2,25.4396585,-80.2000596
"Santa Maria Island, Florida",2,27.5041264,-82.7144811
"Panama City Beach, Florida",2,30.1765914,-85.8054879
"Hanna Park, Florida",2,30.3709252,-81.4067718
"Sargent Beach, Texas",2,28.8352564,-95.6646761
"Off Masonboro Island, North Carolina",2,34.1329044,-77.8510213
"Round Island Park, Florida",2,27.5615944,-80.3239796
"Surfside Beach, Texas",2,28.9516604,-95.2875474
"Velzyland, Hawaii",2,21.6846128,-158.0313241
"Miami, Florida",2,25.7616798,-80.1917902
"Miami Beach, Florida",2,25.790654,-80.1300455
"New Smyrna Beach / Waveland, Florida",2,29.0123034,-80.9577868
"St Augustine, Florida",2,29.9012437,-81.31243409999999
"Volusia County, Florida",2,29.0279842,-81.0754657
"Virginia Beach, Virginia",2,36.8529263,-75.97798499999999
"St. Augustine Beach, Florida",2,29.8439828,-81.2711546
"Boynton Beach, Florida",2,26.5317866,-80.0905465
"St. Helena Island, South Carolina",2,32.3972009,-80.5549561
"Mavericks, California",2,37.4955696,-122.496687
"Maui, Hawaii",2,20.7983626,-156.3319253
"Boca Raton, Florida",2,26.3683064,-80.1289321
"Boca Grande, Florida",2,26.7490152,-82.2616717
"St. Petersburg, Florida",2,27.7676008,-82.64029149999999
"Loggerhead Park, Florida",2,26.884925,-80.055979
"Ocracoke, North Carolina",2,35.1146152,-75.9810097
"Stillwater Cove, California",2,38.5388378,-123.2903804
"Stinson Beach, California",2,37.9004816,-122.6444263
"Oak Island, North Carolina",2,33.9203824,-78.16081969999999
"Lyman Beach, Hawaii",2,19.7779392,-155.0889646
"Tybee Island, Georgia",2,32.0002152,-80.845666
"Sunset Beach, Hawaii",2,21.6709279,-158.0453409
"Marina State Beach, California",2,36.6963431,-121.8090743
"Sunset Cliffs, California",2,32.72518400000001,-117.2530541
"Tampa Bay, Florida",2,27.763383,-82.5436722
"Makena Landing, Hawaii",2,20.653797,-156.4410126
"Makena, Hawaii",2,20.6544444,-156.4425
"Atlantic Beach, Florida",2,30.3344077,-81.398696
"Malibu, California",2,34.0259216,-118.7797571
"North Jetty, Florida",2,27.1141058,-82.466844
"St Augustine Beach, Florida",2,29.8439828,-81.2711546
"Topsail Island, North Carolina",2,34.4696114,-77.4719099
"Lauderdale-by-the-Sea, Florida",2,26.192028,-80.0964326
"Wailea Beach, Hawaii",2,20.6866667,-156.4461111
"South of Ponce de Leon Jetty, Florida",2,29.0782658,-80.91308300000001
"Cape San Blas, Florida",2,29.6675478,-85.3524776
"Carlin Park, Florida",2,26.9291055,-80.0691932
"Cape Kiwanda, Oregon",2,45.21528139999999,-123.9695844
"Waveland Beach, Florida",2,27.275216,-80.2069125
"Monterey Bay, California",2,36.8007413,-121.947311
"Municipal Beach, Florida",2,26.6995753,-80.0330578
"Southeast Farallon Island, California",2,37.69891,-123.003361
"Carolina Beach, North Carolina",2,34.0351726,-77.8935966
"Latigo Point / Paradise Cove, California",2,34.0297525,-118.7522926
"Lanai, Hawaii",2,20.8165975,-156.9273193
"Cape Canaveral, Florida",2,28.3922182,-80.60771319999999
"New Smyrna  Beach, Florida",2,29.0258191,-80.9269984
"Neptune Beach, Florida",2,30.311908,-81.39647339999999
"North Dade- Interama area of Biscayne Bay, Florida",1,25.9086722,-80.1402803
"Palm Beach Shores, Florida",1,26.7781183,-80.0355962
"North Beach Jetty, Florida",1,27.1141058,-82.466844
"North Carolina Aquarium at Fort Fisher, North Carolina",1,33.9626285,-77.9261739
"North Beach Inlet, Florida",1,27.85221,-80.44794999999999
"Near Port Canaveral Coast Guard Base, Florida",1,28.4154773,-80.6213525
"New Smyrna Beach / Cape Canaveral  National Seashore, Florida",1,28.9367854,-80.8302412
"Near Port Aransas, Texas",1,27.8339158,-97.06109939999999
"Normandy Beach, Florida",1,27.3100487,-80.2224991
"Palm Beach Inlet, Florida",1,26.772285,-80.037263
"Palm Beach County, Florida",1,26.6514503,-80.2767327
"North Forest Beach, South Carolina",1,32.1428988,-80.75039939999999
"Near Patrick Air Force Base Brevard County, Florida",1,28.2394645,-80.60751719999999
"Pajaro Dunes, California",1,36.8724919,-121.8196906
"North Hutchinson Island, Florida",1,27.6503152,-80.363081
"Near New Smyrna Jetty, Florida",1,29.0738347,-80.9112452
"Near Cocoa Beach, Florida",1,28.3200067,-80.6075513
"Padre Island, Texas",1,27.464076,-97.29766169999999
"Padre Island National Seashore, Texas",1,27.4735925,-97.2853849
"Near oil rig Hondo, California",1,34.0061317,-118.3783347
"Noreiga's, Hawaii",1,27.495357,-80.30028779999999
"Neptune Avenue, Florida",1,29.299783,-81.0479799
"Palm Beach?, Florida",1,26.7056206,-80.0364297
"New Smyrna Beach / Ponce Inlet, Florida",1,29.0963729,-80.9369983
"Paradise Beach Park, Florida",1,28.1224397,-80.5760513
"Newport Aquarium, Kentucky",1,39.09466400000001,-84.4974482
"New Orleans, Louisiana",1,29.95106579999999,-90.0715323
"Paradise Beach, Florida",1,30.400754,-87.4205333
"Newport Beach, California",1,33.6188829,-117.9298493
"Paradise Bay (next to Wailua Bay), Hawaii",1,22.0509831,-159.3335327
"Pacific State , California",1,34.0615325,-118.2985083
"New Hanover County, North Carolina",1,34.2154913,-77.88245959999999
"Nest Key, Florida",1,25.1487348,-80.5070041
"Newport, Oregon",1,44.6367836,-124.0534505
"Nimitz Beach, Hawaii",1,21.299765,-158.0666611
"Neskowin, Oregon",1,45.1067722,-123.9842817
"Neptune, Florida",1,30.311908,-81.39647339999999
"Nimitz State Beach, Hawaii",1,30.7373973,-98.3690256
"Ninole Bay, Hawaii",1,19.9388888,-155.1688889
"Pamlico Sound, North Carolina",1,35.3825787,-75.8533954
"Pecks Lake, Florida",1,27.1182096,-80.1463473
"Palmetto Dunes, South Carolina",1,32.1788174,-80.7151082
"Panama City, Florida",1,30.1588129,-85.6602058
"Off Hutchinson Island, Florida",1,27.3545667,-80.2488596
"Pacific Beach, Washington",1,47.2088559,-124.2001611
"Oceano Dunes State Beach, California",1,35.1055739,-120.630317
"Off Ventura, California",1,34.2804923,-119.2945199
"Off Umpqua River, Oregon",1,43.6474017,-123.8468812
"Off Tarpon Springs, Florida",1,28.1461248,-82.7567679
"Ocracoke Island, North Carolina",1,35.1146152,-75.9810097
"Off Surfside, Texas",1,28.9516604,-95.2875474
"Off 12th Street, Florida",1,25.459068,-80.485346
"Off 21st Avenue, South Carolina",1,33.8312465,-78.64680229999999
"Off 29th Avenue, South Carolina",1,33.8048481,-78.7166211
"Off Surf City, North Carolina",1,34.4271121,-77.5460805
"Off Sullivans Island, South Carolina",1,32.7632323,-79.8367511
"Off Snipe Point, Florida",1,24.6981975,-81.6739784
"Off Singer Island, Florida",1,26.7850625,-80.03754080000002
"Off Shelter Cover (between Fort Bragg & Eureka), California",1,39.425647,-123.769166
"Off San Clemente Island, California",1,32.9028812,-118.4980744
"Off Pu'u Ola'l, Hawaii",1,20.7127778,-156.2558333
"Off Panama City, Florida",1,30.1588129,-85.6602058
"Off Palos Verdes peninsula, California",1,33.7683844,-118.3492165
"Off Catalina Island, California",1,33.3878856,-118.4163103
"Off Crystal River, Florida",1,28.902479,-82.59260119999999
"Off Palos Verdes Estates, California",1,33.8005714,-118.3900737
"Off Fort Pierce, Florida",1,27.4467056,-80.3256056
"Off Gloucester, Massachusetts",1,42.6159285,-70.6619888
"Pensacola  Beach, Florida",1,30.3337006,-87.14110889999999
"Off Leffingwell Landing, California",1,35.5838504,-121.1214197
"Off Lake Worth, Florida",1,26.6167555,-80.0684479
"Off Key Largo, Florida",1,25.0865151,-80.4472802
"Off Jupiter, Florida",1,26.9342246,-80.0942087
"Oceanside, California",1,33.1958696,-117.3794834
"Oceanic Pier, North Carolina",1,34.4250564,-77.54563139999999
"Oswald State Park, Oregon",1,45.769811,-123.9590931
"Off Zelda Boulevard, Florida",1,29.249284,-81.02303529999999
"North Jetty Park, Florida",1,27.1156242,-82.46735629999999
"North Kihei, Hawaii",1,20.7644275,-156.4450063
"North Kohala, Hawaii",1,20.0859161,-155.7171332
"Ormond-by-the-Sea, Florida",1,29.3491449,-81.0664455
"North Salmon Creek Beach, California",1,38.3592396,-123.0682435
"Opposite main gate at Patrick Air Force Base, Florida",1,28.2549878,-80.60532309999999
"North Shore, Hawaii",1,21.5616575,-158.0715983
"North end of County Beach, Florida",1,26.4719728,-80.05652409999999
"Off Jupiter Inlet, Florida",1,26.9478705,-80.07444579999999
"North of Apache Pier, South Carolina",1,33.7632308,-78.78138270000001
"North of Jupiter Inlet, Florida",1,26.9478705,-80.07444579999999
"Opposite Patrick Air Force Base, Florida",1,28.2394645,-80.60751719999999
"Opposite Grand Wailea Resort, Hawaii",1,20.6843565,-156.4403719
"North of Morro Rock, California",1,35.3694186,-120.8676799
"North of Pidgeon Point, California",1,37.1864492,-122.3832545
"Onslow Beach, North Carolina",1,34.570442,-77.2685663
"O'ahu, Hawaii",1,21.4389123,-158.0000565
"One'ula Beach Park, Hawaii",1,21.306613,-158.025335
"Ocean Beach, California",1,32.7494988,-117.2470353
"Ocean Beach, Florida",1,28.3200067,-80.6075513
"On the south side of Ponce Inlet, Florida",1,29.0805605,-80.928206
"Ocean City, New Jersey",1,39.2776156,-74.5746001
"Ocean Lakes Campground, South Carolina",1,33.628649,-78.962329
"Olowalu side of Lahina, Hawaii",1,20.812688,-156.6227425
"Old Kona Airport State Park, Hawaii",1,19.6423449,-156.0077153
"Okaloosa Island, Florida",1,30.3980135,-86.5977355
"Off the Hanalei River, Hawaii",1,22.2177778,-159.5008333
"Off Long Island, New York",1,40.789142,-73.13496099999999
" Cocoa Beach, Florida",1,28.3200067,-80.6075513
"Pensacola Bay, Florida",1,30.4159301,-87.1323139
"South Moss Beach, California",1,37.5274401,-122.5133117
"Sunset Beach, California",1,33.7207336,-118.0735739
"Sunset Beach, North Carolina",1,33.8820632,-78.5183816
"Surf City, New Jersey",1,39.6620638,-74.16513770000002
"Surfside Beach, South Carolina",1,33.6060031,-78.97308869999999
"Surfside, California",1,33.7271486,-118.0819073
"Table Beach, Florida",1,28.2666061,-80.60564339999999
"Tavares Bay, Hawaii",1,20.9217152,-156.3738379
"Taverniier, Florida",1,25.0115186,-80.51506080000001
"Ten Thousand Islands National Wildlife Refuge, Florida",1,25.8362346,-81.54318719999999
"Terramar Beach, California",1,33.1285167,-117.3329083
"The Rocks, Florida",1,29.6361228,-81.19940629999999
"Tigertail Beach, Florida",1,25.9490043,-81.7427834
"Tillamook Head, Oregon",1,45.94149640000001,-123.9568055
"Tomales Point, California",1,38.2143777,-122.974766
"Topanga Beach, California",1,34.0919452,-118.6021321
"Topsail Beach, North Carolina",1,34.3651685,-77.63052929999999
"Tourmaline Surf Park, California",1,32.8051352,-117.2622363
"Treasure Shores Beach, Florida",1,27.765853,-82.7681523
"Trinidad Head, California",1,41.05416659999999,-124.1505555
"Sunglow Pier, Florida",1,29.146674,-80.9643261
"Sunday Beach, Texas",1,28.3593479,-96.39973610000001
"Summerland Key, Florida",1,24.6656987,-81.4423048
"St Lucie County, Florida",1,27.3225563,-80.54384499999999
"South of Neptune Beach, Florida",1,30.311908,-81.39647339999999
"South side of Ponce de Leon Inlet, Florida",1,29.0698216,-80.9216708
"Southwest of O'ahu, Hawaii",1,21.4389123,-158.0000565
"Spanish House Beach, Florida",1,28.3270936,-80.608363
"Spanish River Park Beach, Florida",1,26.3787913,-80.0688904
"Spessard Holland Park, Florida",1,28.0475171,-80.5476262
"Spreckelsville, Hawaii",1,20.9107182,-156.4051911
"St Augustine Beach. St. Johns County, Florida",1,29.8439828,-81.2711546
"St. Andrews State Park, Florida",1,30.1314437,-85.7365997
"Stuart, Florida",1,27.197548,-80.2528257
"St. Augustine  St. Johns County, Florida",1,29.9012437,-81.31243409999999
"St. George Island (near Apachicola), Florida",1,29.6584899,-84.8802444
"St. Louis, Missouri",1,38.6270025,-90.19940419999999
"St. Petersburg Beach, Florida",1,27.7428134,-82.7504542
"St. Simon Island, Georgia",1,31.1595905,-81.3885517
"Stearns Wharf, California",1,34.4099861,-119.6855917
"Stuart Park Beach, Florida",1,27.7950627,-82.7941962
"Stuart Rocks, Florida",1,27.18688,-80.24505529999999
"Trinidad State Beach, California",1,41.065402,-124.1503472
"Truro (Cape Cod), Massachusetts",1,42.0031966,-70.053449
"Tunitas Beach, California",1,37.3577202,-122.3999742
"Wiggins Pass, Florida",1,26.2884193,-81.83119909999999
"Waiokapua Bay/Majors Bay, Hawaii",1,22.0083333,-159.7791667
"Waipo, Hawaii",1,21.414311,-157.9955852
"Waites Island, South Carolina",1,33.8487836,-78.5747337
"Walden Rocks, Florida",1,27.3378902,-80.23343059999999
"Walls Beach, California",1,34.7069443,-120.6007178
"Walton Rocks, Florida",1,27.3378902,-80.23343059999999
"West Beach, Texas",1,29.2000762,-94.94180829999999
"West Cove, California",1,33.0136447,-118.5984148
"Wilbur-by-the-Sea, Florida",1,29.1289351,-80.9574023
"Wailea, Hawaii",1,20.6871826,-156.4391668
"Will Rogers State Beach, California",1,34.0354306,-118.5367042
"Windsor Beach, Florida",1,27.7883605,-80.4142177
"Windy Hill, South Carolina",1,33.7977679,-78.7321948
"Winterhaven Park, Florida",1,29.1047098,-80.9415953
"Winyah Bay, South Carolina",1,33.2702072,-79.24229559999999
"World Typhoon Lagoon, Florida",1,28.3657981,-81.5295597
"Wreck of the U-352 , North Carolina",1,34.7196144,-76.7126143
"Wrightsville Beach, South Carolina",1,34.2085036,-77.7963709
"Wailua, Hawaii",1,22.0522222,-159.3377778
"Waikiki, Hawaii",1,21.2793462,-157.8291847
"Tunnels surf break off Makua Beach, Hawaii",1,22.2238537,-159.5610662
"Venice Pier, California",1,33.9777877,-118.4690676
"Turtle Beach, Florida",1,27.2178348,-82.51706159999999
"Twin Arches, Hawaii",1,36.5438494,-84.7378387
"Two miles off Key Colony Beach, Florida",1, , 
"Ulua Beach, Hawaii",1,20.6903433,-156.4436167
"Upolu Point, Hawaii",1,20.2689664,-155.8545221
"Usal Creek, California",1,39.8755876,-123.8575137
"Vaughn Beach, Florida",1,30.2925103,-81.3921501
"Venice Beach, California",1,33.9850469,-118.4694832
"Ventnor, New Jersey",1,39.3403942,-74.4773735
"Waihe'e, Hawaii",1,20.9297229,-156.5045315
"Virginia Aquarium & Marine Science Center, Virginia",1,36.8212055,-75.98358809999999
"Volusia County  , Florida",1,29.0279842,-81.0754657
"Wabasso Beach, Florida",1,27.7680835,-80.3992174
"Waddell Reef, California",1,37.115949,-122.2697097
"Wai'anae, Hawaii",1,21.4359641,-158.1848755
"Waialua Bay, Hawaii",1,21.5944262,-158.1148221
"Waialua Beach, Hawaii",1,21.5795072,-158.1241298
"Waiehu, Hawaii",1,20.9297229,-156.5045315
"South of Cocoa Beach, Florida",1,28.2813972,-80.6064403
"South Miami Beach, Florida",1,25.7826123,-80.1340772
"Perch Rock, California",1,34.1228404,-118.2240082
"South Jacksonville Beach, Florida",1,30.2841224,-81.3961338
"Public Beach, Florida",1,27.3126083,-82.57846479999999
"Punaluu, Hawaii",1,21.5907601,-157.8912373
"Quarter mile offshore in Kaanapali, Hawaii",1,20.9178314,-156.6966248
"Quarter mile south of Ponce de Leon Inlet, Florida",1,29.0805605,-80.928206
"Quebradillas, Puerto Rico",1,18.470959,-66.93425789999999
"Refugio State Beach, California",1,34.4631659,-120.0701354
"Resident's Beach, Florida",1,25.9354415,-81.7331861
"Rockaway, New York",1,40.592658,-73.7977928
"Rocky Point, Hawaii",1,21.6730556,-158.0494444
"Near 70th Avenue, South Carolina",1,33.7405386,-78.8220731
"Running Waters Beach, Hawaii",1,21.9587975,-159.3416888
"Russian Gulch, California",1,39.3325257,-123.8061091
"Salmon Beach, California",1,38.350472,-123.0622242
"Salmon Creek Beach, California",1,38.3592396,-123.0682435
"Salvo, North Carolina",1,35.54018,-75.4729347
"Samoa Beach, California",1,40.80628129999999,-124.1991726
"San Diego County, California",1,32.7157305,-117.1610966
"San Nicholas Island, California",1,33.2464523,-119.4991693
"Sand Key Beach, Florida",1,27.9621494,-82.8317823
"Public Beach (Carlin Park), Florida",1,26.9291055,-80.0691932
"Puamana, Hawaii",1,20.8557212,-156.6640173
"Prince William Sound, Alaska",1,60.6905448,-147.0970548
"Pirate's Beach, Texas",1,29.2044545,-94.93640529999999
"Perdido Key near the Florida Panhandle, Florida",1,30.3035037,-87.42731719999999
"Perdido Key, Florida",1,30.3035037,-87.42731719999999
"Pet Den, Florida",1,30.8007829,-86.4980652
"Petting Tank, Florida",1,27.943972,-82.44487470000001
"Pila'a Beach, Hawaii",1,22.2147222,-159.3658333
"Pillar Point, California",1,37.5030312,-122.4822904
"Pine Island, North Carolina",1,35.3056946,-80.9736851
"Pinellas Point, Florida",1,27.7119724,-82.6545869
"Pirates Beach, Texas",1,29.2044545,-94.93640529999999
